Pathways: 100  Ignitions: 100  Perturbation +/- : 0.25
Optimal-policy pathways
total_prob,ave_prob
-2.67594326755e-63,-25301145.2417
Perturbed-policy pathways
total_prob,ave_prob
-2.67594326755e-63,-25301108.8056
-2.67594326755e-63,-25301129.6833
-2.67594326755e-63,-25288530.0235
-2.67594326755e-63,-25290284.884
-2.67594326755e-63,-25228049.7332
-2.67594326754e-63,-25259334.4416
-2.67594326754e-63,-25276400.2957
-2.67594326755e-63,-25264823.5131
-2.67594326755e-63,-25298898.5319
-2.67594326755e-63,-25298340.3105
-2.67594326755e-63,-25275605.0716
-2.67594326755e-63,-25280503.3293
-2.67594326755e-63,-25287363.963
-2.67594326755e-63,-25292482.894
-2.67594326755e-63,-25285620.2272
-2.67594326755e-63,-25281819.9332
-2.67594326755e-63,-25283868.1207
-2.67594326755e-63,-25283102.4808
-2.67594326755e-63,-25294200.5563
-2.67594326755e-63,-25299137.2176
-2.67594326755e-63,-25291774.2749
-2.67594326755e-63,-25291565.9805
